КНС,Период,Нагн. скваж.,Закачка м3/мес базовый прогноз,Закачка м3/мес прогноз,Доля базовый прогноз,Доля прогноз,Руст базовый прогноз,Руст прогноз,Суммарная закачка прогноз,Закачка м3/мес факт,Руст факт
97,05.2026,15150,3801.6816143878696,3801.6816143878696,0.029179289573858964,0.029179289573858964,94.31109886143791,94.31109886143791,130286.98333333332,4280.17,92.0
97,05.2026,15150Д,3176.2380088781983,3176.2380088781983,0.02437878234352804,0.02437878234352804,67.6637195392439,67.6637195392439,130286.98333333332,4666.377,62.0
97,05.2026,16181,409.2853879897846,409.2853879897846,0.0031414142650202175,0.0031414142650202175,99.8858377877426,99.8858377877426,130286.98333333332,,
97,05.2026,16186,515.9822530011814,515.9822530011814,0.003960351523997331,0.003960351523997331,84.13045422080255,84.13045422080255,130286.98333333332,655.408,80.0
97,05.2026,16192,3452.9883925733748,3452.9883925733748,0.026502942229762592,0.026502942229762592,97.90585784228536,97.90585784228536,130286.98333333332,4360.952,97.0
97,05.2026,16197,4349.946320665049,4349.946320665049,0.0333874206722241,0.0333874206722241,94.33583619258168,94.33583619258168,130286.98333333332,4226.785,80.0
97,05.2026,16210,0.0,0.0,0.0,0.0,105.81158085042117,105.81158085042117,130286.98333333332,,
97,05.2026,16228,11340.664904617359,11340.664904617359,0.08704372926958316,0.08704372926958316,90.66765296653232,90.66765296653232,130286.98333333332,11667.284,92.0
97,05.2026,16241,455.18957843120756,455.18957843120756,0.003493745628192386,0.003493745628192386,87.50247543403971,87.50247543403971,130286.98333333332,790.361,82.0
97,05.2026,16259,0.0,0.0,0.0,0.0,94.9649537103361,94.9649537103361,130286.98333333332,,
97,05.2026,26183,10770.753137112655,10770.753137112655,0.08266944910034622,0.08266944910034622,91.48898207410016,91.48898207410016,130286.98333333332,10764.592,80.0
97,05.2026,26203,3168.0613993876964,3168.0613993876964,0.02431602389075473,0.02431602389075473,90.07356533001062,90.07356533001062,130286.98333333332,2119.306,90.0
97,05.2026,26214,322.52416907830207,322.52416907830207,0.0024754903431384134,0.0024754903431384134,98.22630082200739,98.22630082200739,130286.98333333332,494.776,80.0
97,05.2026,26218,1241.0010153556477,1241.0010153556477,0.009525134312002628,0.009525134312002628,95.98655511051261,95.98655511051261,130286.98333333332,463.816,80.0
97,05.2026,26220,0.0,0.0,0.0,0.0,86.45000577919937,86.45000577919937,130286.98333333332,,
97,05.2026,26228,0.0,0.0,0.0,0.0,103.78123927390813,103.78123927390813,130286.98333333332,,
97,05.2026,26231,3646.5327834074506,3646.5327834074506,0.027988465847566386,0.027988465847566386,91.73516066880691,91.73516066880691,130286.98333333332,4531.179,85.0
97,05.2026,26233,838.5730933947171,838.5730933947171,0.0064363535937374955,0.0064363535937374955,101.039428886377,101.039428886377,130286.98333333332,371.874,105.0
97,05.2026,26249,536.9868891837239,536.9868891837239,0.0041215697489124245,0.0041215697489124245,88.63468365626527,88.63468365626527,130286.98333333332,,
97,05.2026,26256,0.0,0.0,0.0,0.0,99.85928884208899,99.85928884208899,130286.98333333332,,
97,05.2026,26257,10396.183396898612,10396.183396898612,0.07979449006275975,0.07979449006275975,96.58959041681203,96.58959041681203,130286.98333333332,12389.369,97.0
97,05.2026,26259,4537.739088935567,4537.739088935567,0.0348287984942131,0.0348287984942131,102.86076094490154,102.86076094490154,130286.98333333332,6251.369,93.0
97,05.2026,26293,0.0,0.0,0.0,0.0,104.46234680494075,104.46234680494075,130286.98333333332,,
97,05.2026,26304,2933.8349980702014,2933.8349980702014,0.022518251040966372,0.022518251040966372,99.92247738584271,99.92247738584271,130286.98333333332,1570.644,100.0
97,05.2026,26310,1234.2803472745766,1234.2803472745766,0.009473550739268607,0.009473550739268607,83.8705443832767,83.8705443832767,130286.98333333332,4775.921,83.0
97,05.2026,7443Д/1,1868.286598634331,1868.286598634331,0.014339779391886024,0.014339779391886024,85.64089532592375,85.64089532592375,130286.98333333332,1998.944,80.0
97,05.2026,7516Д,12901.535564444526,12901.535564444526,0.09902397948255916,0.09902397948255916,82.65912815159514,82.65912815159514,130286.98333333332,9483.174,80.0
97,05.2026,7579,14584.744106942066,14584.744106942066,0.11194321745578882,0.11194321745578882,100.39396334187907,100.39396334187907,130286.98333333332,14686.596,70.0
97,05.2026,7583А,0.0,0.0,0.0,0.0,111.36717371997831,111.36717371997831,130286.98333333332,2560.173,100.0
97,05.2026,7585,4744.287785997213,4744.287785997213,0.03641413489373047,0.03641413489373047,103.88802179426058,103.88802179426058,130286.98333333332,8036.652,95.0
97,05.2026,7586,15547.462732653712,15547.462732653712,0.11933243317850284,0.11933243317850284,88.1124439176997,88.1124439176997,130286.98333333332,11468.481,88.0
97,05.2026,7587,3871.4830023853137,3871.4830023853137,0.02971504062290168,0.02971504062290168,65.72188352066343,65.72188352066343,130286.98333333332,4750.303,65.0
97,05.2026,7620,0.0,0.0,0.0,0.0,104.75788354066097,104.75788354066097,130286.98333333332,,
97,05.2026,7965,9640.736763632982,9640.736763632982,0.07399616229479805,0.07399616229479805,90.3823629072701,90.3823629072701,130286.98333333332,8539.794,80.0
97,06.2026,15150,3393.2124211384953,3393.2124211384953,0.025913004500590357,0.025913004500590357,95.82135442524518,95.82135442524518,130946.31388888886,3919.168,85.0
97,06.2026,15150Д,2731.7522248186942,2731.7522248186942,0.020861619878331607,0.020861619878331607,71.32534347694437,71.32534347694437,130946.31388888886,3241.265,65.0
97,06.2026,16181,649.7018163858032,649.7018163858032,0.0049615891970589635,0.0049615891970589635,99.81954681619908,99.81954681619908,130946.31388888886,,
97,06.2026,16186,610.4725246144135,610.4725246144135,0.004662006180123667,0.004662006180123667,82.94253439229612,82.94253439229612,130946.31388888886,774.241,85.0
97,06.2026,16192,3699.109847471092,3699.109847471092,0.028249056713500743,0.028249056713500743,98.50604943684804,98.50604943684804,130946.31388888886,3525.171,97.0
97,06.2026,16197,4530.544489606722,4530.544489606722,0.03459848815180089,0.03459848815180089,94.55463433976863,94.55463433976863,130946.31388888886,2024.288,80.0
97,06.2026,16210,0.0,0.0,0.0,0.0,106.34226087247333,106.34226087247333,130946.31388888886,,
97,06.2026,16228,10040.375153305751,10040.375153305751,0.07667550811567901,0.07667550811567901,89.8196097656817,89.8196097656817,130946.31388888886,10193.609,92.0
97,06.2026,16241,1064.363631115851,1064.363631115851,0.008128244312543149,0.008128244312543149,88.48177165009771,88.48177165009771,130946.31388888886,667.615,75.0
97,06.2026,16259,0.0,0.0,0.0,0.0,94.94859459083516,94.94859459083516,130946.31388888886,,
97,06.2026,26183,11189.034232581716,11189.034232581716,0.0854474929479564,0.0854474929479564,93.74753908119649,93.74753908119649,130946.31388888886,9729.895,85.0
97,06.2026,26203,3293.4879740094807,3293.4879740094807,0.025151437075228288,0.025151437075228288,90.1271433306778,90.1271433306778,130946.31388888886,2058.672,100.0
97,06.2026,26214,863.4974923301944,863.4974923301944,0.006594286365807081,0.006594286365807081,98.38383178833035,98.38383178833035,130946.31388888886,741.674,86.0
97,06.2026,26218,1371.8169096624401,1371.8169096624401,0.010476178129202323,0.010476178129202323,95.97620009719873,95.97620009719873,130946.31388888886,290.336,80.0
97,06.2026,26220,0.0,0.0,0.0,0.0,86.1043345031388,86.1043345031388,130946.31388888886,,
97,06.2026,26228,127.38133287209477,127.38133287209477,0.0009727752472679828,0.0009727752472679828,103.65390145546266,103.65390145546266,130946.31388888886,,
97,06.2026,26231,3337.09551767008,3337.09551767008,0.025484455564756762,0.025484455564756762,92.86869003459684,92.86869003459684,130946.31388888886,3050.961,70.0
97,06.2026,26233,1016.4248138592444,1016.4248138592444,0.007762149110372862,0.007762149110372862,98.49582497556888,98.49582497556888,130946.31388888886,355.663,105.0
97,06.2026,26249,1150.9618606676704,1150.9618606676704,0.008789570523109871,0.008789570523109871,89.6928306977202,89.6928306977202,130946.31388888886,,
97,06.2026,26256,0.0,0.0,0.0,0.0,99.78280932027437,99.78280932027437,130946.31388888886,,
97,06.2026,26257,10018.477948297616,10018.477948297616,0.07650828534813539,0.07650828534813539,96.34043205935572,96.34043205935572,130946.31388888886,9738.394,95.0
