source,target,producer_overlap,same_branch,historical_share_corr,lag1_directed_corr,combined_strength,combined_signed
4702,2997,1.0,1.0,0.9445784935771969,0.25359985130723595,0.983373548073159,0.18640445395263117
2997,4702,1.0,1.0,0.9445784935771969,-0.3002628438715773,0.983373548073159,0.1910226014233392
2992,23414,0.9477837112203359,1.0,0.5552937910050736,-0.08341264245693765,0.8404799929116901,0.1426588631273421
23414,2992,0.9477837112203359,1.0,0.5552937910050736,-0.03272158470930179,0.8404799929116901,0.16215151442294942
2556,24528,0.8531145054348256,1.0,-0.33064529345092336,-0.1396199209398195,0.7257508407526898,-0.19977461163559054
24528,2556,0.8531145054348256,1.0,-0.33064529345092336,-0.15104298260537966,0.7257508407526898,-0.1454807168875159
24779,2902,0.9052038109696287,1.0,0.22807026713645248,-0.3555088526403906,0.7210229856257501,0.14449400677822147
2902,24779,0.9052038109696287,1.0,0.22807026713645248,-0.04539043119887698,0.7210229856257501,0.11520638341356526
4625,2902,0.5989618841137643,1.0,-0.7252059266263102,0.11597798302522877,0.7170427200447752,-0.10266783270079533
2902,4625,0.5989618841137643,1.0,-0.7252059266263102,-0.5532872457810557,0.7170427200447752,-0.11457040923278149
23308,4636,0.5626477625549557,1.0,-0.7727347663886914,0.11182174103089591,0.7131443111940853,-0.11995016117579653
4636,23308,0.5626477625549557,1.0,-0.7727347663886914,-0.17817157315382065,0.7131443111940853,-0.12719025987376317
4611,3592,0.7024141513354857,1.0,0.4148804214039108,-0.04532589332495659,0.6756712020889161,0.15050425065632747
3592,4611,0.7024141513354857,1.0,0.4148804214039108,-0.20794867455242433,0.6756712020889161,0.11111631488626941
4625,2903,0.6346654848922323,1.0,0.15967156023400275,-0.16394978837919474,0.565234210516317,0.08093153969742783
2903,4625,0.6346654848922323,1.0,0.15967156023400275,-0.13269066006303684,0.565234210516317,0.1063078623995241
3592Д/2,4625,0.6134779445389421,0.0,0.8459776854407514,0.0419341475663183,0.5605322779016965,0.11315375854273786
4625,3592Д/2,0.6134779445389421,0.0,0.8459776854407514,0.5105783335977053,0.5605322779016965,0.08025830612632606
2556,2553,0.9847319278346618,0.0,0.18153030337130052,-0.04993427605735113,0.546825054928721,0.15052240637806086
2553,2556,0.9847319278346618,0.0,0.18153030337130052,-0.07915484888089887,0.546825054928721,0.19207732461669627
4611,2902,0.4874238459731352,1.0,-0.3143508088774569,0.04295226898808978,0.5380171656498046,-0.1198421215911303
2902,4611,0.4874238459731352,1.0,-0.3143508088774569,-0.0845806498648752,0.5380171656498046,-0.08596537572951048
4625,3592,0.36992091056555226,1.0,0.5096488389545506,0.19134692264389042,0.5378551069691413,0.07701133641818157
3592,4625,0.36992091056555226,1.0,0.5096488389545506,-0.13801721869158268,0.5378551069691413,0.08845201222784455
2903,24779,0.4464418717230567,1.0,-0.380372023028655,-0.07720315538384404,0.5373325427701249,-0.1010601852414661
24779,2903,0.4464418717230567,1.0,-0.380372023028655,-0.0019524867126765402,0.5373325427701249,-0.10768218714941975
2994,4698,0.9486832980505138,0.0,-0.16984126644025516,0.5901991712748038,0.5252940289573335,-0.12720542095067505
4698,2994,0.9486832980505138,0.0,-0.16984126644025516,0.41010751575326554,0.5252940289573335,-0.16894428777675213
4639,4625,0.258416654995622,1.0,0.6377464618806891,-0.2068364101560077,0.5205322660620177,0.09527681797803707
4625,4639,0.258416654995622,1.0,0.6377464618806891,0.2604554244788784,0.5205322660620177,0.07453101204916211
3592,4639,0.14836942629032723,1.0,0.813322584687144,-0.3791901552558339,0.5181814885513069,0.0852166220376012
4639,3592,0.14836942629032723,1.0,0.813322584687144,-0.22706170651060417,0.5181814885513069,0.09484653802115889
24779,4611,0.41641573199828813,1.0,-0.33243682520458717,0.17752010000094123,0.5079389135605202,-0.10179166307054709
4611,24779,0.41641573199828813,1.0,-0.33243682520458717,-0.06946197094197869,0.5079389135605202,-0.11314225814015827
2902,2903,0.4571503208824943,1.0,-0.24792146975309634,0.01991579334184788,0.5029516013671761,-0.08036253514898233
2903,2902,0.4571503208824943,1.0,-0.24792146975309634,0.10268430283693239,0.5029516013671761,-0.0945939022036929
24779,4625,0.507923790721805,1.0,0.11550181638389162,0.4445634852495042,0.48861244027607004,0.09791861100780473
4625,24779,0.507923790721805,1.0,0.11550181638389162,-0.1724863062978683,0.48861244027607004,0.06996065767275123
24528,2553,0.7492686492653553,0.0,0.34708175453209755,-0.7668441961588189,0.4787588509923069,0.0959698245562743
2553,24528,0.7492686492653553,0.0,0.34708175453209755,-0.6233426508057749,0.4787588509923069,0.1681684451111201
2902,3592Д/2,0.4828045495852675,0.0,-0.713131725239613,-0.8880711274636129,0.45534179236451766,-0.07275535199455531
3592Д/2,2902,0.4828045495852675,0.0,-0.713131725239613,0.07052816915659756,0.45534179236451766,-0.09191912269620998
24759,4636,0.30281331944409,1.0,-0.25416441472129747,0.21292396264177627,0.4276559841384342,-0.09479709278014208
4636,24759,0.30281331944409,1.0,-0.25416441472129747,-0.4033228851509819,0.4276559841384342,-0.0762730276401713
2902,3592,0.06550339347073006,1.0,-0.6134738472760798,-0.03653812185238102,0.416793850918189,-0.06659609076349311
3592,2902,0.06550339347073006,1.0,-0.6134738472760798,0.4277310435066022,0.416793850918189,-0.06854309705387109
24527,23311,0.0,1.0,0.7080238129911128,-0.7665415185937335,0.41240714389733385,0.10718991902231816
23311,24527,0.0,1.0,0.7080238129911128,-0.7424080560820268,0.41240714389733385,0.15364706925673965
4611,4625,0.34702280227066684,1.0,0.12626133804962858,0.1061586875744482,0.411389802550222,0.09163615937612174
4625,4611,0.34702280227066684,1.0,0.12626133804962858,0.09618413709925036,0.411389802550222,0.05890374205375377
2553,2555,0.0,1.0,-0.6678907050052768,0.7245370154180691,0.40036721150158305,-0.14063266149992928
2555,2553,0.0,1.0,-0.6678907050052768,0.7231546779794789,0.40036721150158305,-0.10916304336528221
4636,3592,0.350585968259726,0.0,0.7389792961412736,-0.33059763318298063,0.39698677297224505,0.07080313202841301
3592,4636,0.350585968259726,0.0,0.7389792961412736,-0.3369010112698785,0.39698677297224505,0.06528575901250705
24759,23308,0.0,1.0,0.6532954090999665,-0.2512398171896911,0.39598862272998997,0.08777749312789723
23308,24759,0.0,1.0,0.6532954090999665,0.4653983345734059,0.39598862272998997,0.0666048910082618
4636,4634Д,0.0,1.0,0.6526676140951942,0.49708076994853556,0.3958002842285583,0.07059152014386452
4634Д,4636,0.0,1.0,0.6526676140951942,0.12764393571157906,0.3958002842285583,0.08367513604154891
2903,2992,0.41194491774908387,0.0,-0.6092151304469037,-0.19257349795538656,0.38873699800861305,-0.07311270005429145
2992,2903,0.41194491774908387,0.0,-0.6092151304469037,-0.0689022084480774,0.38873699800861305,-0.0659822704396861
24527,2555,0.5432144762551112,0.0,-0.3738102766128269,0.8344192961124234,0.38375032111140367,-0.09974164233915414
2555,24527,0.5432144762551112,0.0,-0.3738102766128269,0.43245895726186245,0.38375032111140367,-0.10463232687764566
4639,2903,0.3394057168806492,1.0,0.03770733382309662,-0.01084638063268274,0.38101505858725354,0.06973996570576428
2903,4639,0.3394057168806492,1.0,0.03770733382309662,0.061655580681715456,0.38101505858725354,0.0716603766488955
2903,4611,0.2545358168267012,1.0,0.15216059196425732,0.07265791091598793,0.3729160860026278,0.07013714177194523
4611,2903,0.2545358168267012,1.0,0.15216059196425732,-0.12277464613953143,0.3729160860026278,0.08306622497451081
4648,23322,0.0,1.0,0.5459833860249836,-0.2672963052535202,0.36379501580749507,0.08881987079778043
23322,4648,0.0,1.0,0.5459833860249836,-0.5127647566148272,0.36379501580749507,0.10959837121790911
24759,4648,0.15176118324406532,1.0,-0.276090531284425,-0.3260967962206366,0.3587077510073602,-0.07951356514210128
4648,24759,0.15176118324406532,1.0,-0.276090531284425,-0.31557930396032424,0.3587077510073602,-0.08757782463818935
