КНС,Период,Нагн. скваж.,Закачка м3/мес базовый прогноз,Закачка м3/мес прогноз,Доля базовый прогноз,Доля прогноз,Руст базовый прогноз,Руст прогноз,Суммарная закачка прогноз,Закачка м3/мес факт,Руст факт
97,04.2026,23281,4025.1122342103295,2173.933961141812,0.04717207811108369,0.04717207811108369,108.79835140927224,108.79835140927224,46085.18530861624,4545.875,104.0
97,04.2026,23308,4754.274490460094,2567.7492139369024,0.05571745446484788,0.055717454464847896,88.59660365408256,88.59660365408256,46085.18530861624,4208.167,97.0
97,04.2026,23311,4999.8027631086925,2700.3572554704297,0.05859490934857024,0.05859490934857024,84.86944923274206,84.86944923274206,46085.18530861624,6329.373,119.0
97,04.2026,23322,262.0315740344579,141.52135506768255,0.0030708644029521395,0.0030708644029521404,115.23513675603172,115.23513675603172,46085.18530861624,242.609,120.0
97,04.2026,23414,959.0454205285826,517.973484625987,0.01123947926339671,0.011239479263396713,117.34930585190632,117.34930585190632,46085.18530861624,2393.828,115.0
97,04.2026,24527,2134.224091647541,1152.6789722994795,0.025011920090597328,0.02501192009059733,89.97284348552914,89.97284348552914,46085.18530861624,1139.3,90.0
97,04.2026,24528,3129.4258380304373,1690.180226615154,0.03667513139627437,0.036675131396274374,86.7787873914653,86.7787873914653,46085.18530861624,4433.709,87.0
97,04.2026,24759,4919.786234568388,2657.1409080185517,0.05765716010958001,0.05765716010958003,94.61671967820746,94.61671967820746,46085.18530861624,3669.121,89.0
97,04.2026,24779,4424.173641684788,2389.464136652551,0.05184885599680574,0.05184885599680575,52.69724146719132,52.69724146719132,46085.18530861624,3399.2,23.0
97,04.2026,2553,1681.3927705445044,908.1080559290607,0.019704988704022368,0.01970498870402237,99.80801437085482,99.80801437085482,46085.18530861624,88.454,100.0
97,04.2026,2555,4221.026707857779,2279.7459492204425,0.04946808684729783,0.04946808684729784,79.70496256150189,79.70496256150189,46085.18530861624,8765.135,85.0
97,04.2026,2556,371.56724032287804,200.6807749906426,0.004354561528759278,0.004354561528759279,121.91774563712426,121.91774563712426,46085.18530861624,,
97,04.2026,2558,2926.6415127469118,1580.6578814307666,0.03429861181734776,0.034298611817347766,95.53100683540981,95.53100683540981,46085.18530861624,9595.059,114.0
97,04.2026,2902,5781.005871047818,3122.2793952965703,0.06775017555832238,0.0677501755583224,47.20301979000362,47.20301979000362,46085.18530861624,130.704,45.0
97,04.2026,2903,673.6633359704571,363.84068796769276,0.00789495985599667,0.007894959855996671,88.6991894188268,88.6991894188268,46085.18530861624,,
