injector,strength_sum,positive_strength_sum,negative_strength_sum,top_neighbor,top_neighbor_strength,top_directed_influenced,top_directed_out_corr,top_directed_influencer,top_directed_in_corr,degree_centrality,betweenness_centrality
4394,3.626519812743831,0.5528569730461658,-0.4471430269538342,2026,0.3739500591953129,951,-0.060489005739278824,2077,-0.11552140310769218,0.4,0.18333333333333335
2064,3.27665698809921,0.45575886207731603,-0.5442411379226839,2146,0.5043878675808267,2079,-0.08161296000735939,2015,-0.09871405703000083,0.36,0.07666666666666667
820,3.2572067431577625,0.5013534649724872,-0.49864653502751277,2015,0.41994812577934026,2017А,0.09928030452931837,2165,-0.0842839292287153,0.32,0.05666666666666667
2166,3.205373663687346,0.5207977705519989,-0.479202229448001,2165,0.7352888226899641,4398,0.10288199371165768,2167,0.10809135547475061,0.2,0.0
951,3.148366238635436,0.612323733306309,-0.38767626669369104,2074,0.3238425585832549,2077,-0.1282219059294513,2019,-0.12545957701432586,0.28,0.10666666666666667
2163,3.104319214142493,0.5299925840909039,-0.47000741590909606,2162,0.8218363350104663,951,-0.10448560727573228,2072,0.10511205816329121,0.24,0.04666666666666667
2697,3.017895523554276,0.32101283491542654,-0.6789871650845736,4398,0.34817533399263223,4394,0.10584627670924301,2165,0.10235649104422365,0.32,0.13
2017,3.0141774397014385,0.6118806547535139,-0.388119345246486,2017А,0.5346603973320806,2017А,0.09393382946094879,2165,-0.15284018188640233,0.32,0.12000000000000001
4398,2.982162499729914,0.45977444964099995,-0.540225550359,4397,0.5519898315814156,2019,-0.1436562739475668,2166,0.10288199371165768,0.24,0.09000000000000001
2072,2.9503420295228557,0.41604499058050615,-0.5839550094194939,2074,0.42475793310469795,2165,0.12896842292037794,2026,-0.10660577893252711,0.28,0.07
2074,2.9293228635178754,0.5584227634420096,-0.4415772365579905,2077,0.49101542061044373,2026,-0.08709042914325657,2167,0.11989400432972955,0.16,0.0
4397,2.9159719230821226,0.7070803009857176,-0.29291969901428255,4398,0.5519898315814156,4394,0.07477386731261132,2015,0.09631942183388412,0.24,0.05666666666666667
2161,2.886591092691524,0.5057104293391202,-0.4942895706608798,2167,0.33712694588116854,2165,0.07880696317597043,2033,0.09915096433829251,0.28,0.07
2165,2.8699260694629802,0.5902044085326489,-0.40979559146735095,2166,0.7352888226899641,2017,-0.15284018188640233,2072,0.12896842292037794,0.24,0.08
2162,2.840368036965801,0.5759540567804019,-0.42404594321959793,2163,0.8218363350104663,4398,-0.09655519280731778,2166,0.07934699569517176,0.24,0.02666666666666667
2079,2.57527348885508,0.3811477397256967,-0.6188522602743035,820,0.25774243775226435,2026,0.10867321431802908,2167,-0.10295364214973425,0.28,0.09000000000000001
2033,2.362203153737119,0.6159312223809296,-0.38406877761907027,4394,0.27003077964838407,2161,0.09915096433829251,2077,0.20489586581519462,0.12,0.0033333333333333335
2146,2.31075190028445,0.4045800399597964,-0.5954199600402036,2064,0.5043878675808267,4398,0.09068674600592128,2166,-0.09015771798299843,0.12,0.013333333333333334
2017А,2.2316650846623776,0.6903176265088229,-0.309682373491177,2017,0.5346603973320806,951,0.08924060412026188,820,0.09928030452931837,0.08,0.0
2167,2.2256079116125402,0.38150876443175175,-0.6184912355682483,2166,0.38990708826621706,2074,0.11989400432972955,2026,-0.11327685104024361,0.12,0.0033333333333333335
2031,2.2054057521412522,0.7178858462637875,-0.2821141537362124,4394,0.369930457156118,2074,-0.11619122386447556,2165,-0.11097970163494464,0.12,0.0033333333333333335
2026,2.196860903586898,0.6897937037085536,-0.31020629629144647,4394,0.3739500591953129,2167,-0.11327685104024361,2079,0.10867321431802908,0.2,0.05
2019,2.142658063687821,0.5767577808277328,-0.4232422191722674,2026,0.22560651820874017,49,0.14771887369680653,4398,-0.1436562739475668,0.16,0.06666666666666667
2077,2.026627269849528,0.6950996483667694,-0.30490035163323026,2074,0.49101542061044373,2033,0.20489586581519462,49,0.14276626577867554,0.08,0.0
2015,2.0122769759230668,0.7307495972657786,-0.26925040273422124,820,0.41994812577934026,2064,-0.09871405703000083,2019,-0.0859816142545783,0.08,0.0
49,1.7665172534960067,0.3164905941242057,-0.6835094058757942,2026,0.2213323174731936,2077,0.14276626577867554,2019,0.14771887369680653,0.12,0.02666666666666667
