source,target,producer_overlap,same_branch,historical_share_corr,lag1_directed_corr,combined_strength,combined_signed
951,2077,0.4961389383568339,0.0,0.16646791557789098,-0.7094268881028777,0.29800984385178425,0.09465539307172459
2077,951,0.4961389383568339,0.0,0.16646791557789098,0.04758175892183767,0.29800984385178425,0.14704718933043406
2033,4394,0.36435977886793114,0.0,0.29283630071472827,0.551854204428882,0.27003077964838407,0.11431310605998572
4394,2033,0.36435977886793114,0.0,0.29283630071472827,-0.08764454729960267,0.27003077964838407,0.07446003154304522
2033,2031,0.5129891760425771,0.0,0.04103104351748341,0.21235719907477252,0.26880390107653357,0.11379372711922464
2031,2033,0.5129891760425771,0.0,0.04103104351748341,0.27035895935852927,0.26880390107653357,0.12188410264893386
2167,2165,0.14139661399461725,0.0,-0.6360572739507548,0.4070879201011063,0.2615154891825351,-0.11750294731521549
2165,2167,0.14139661399461725,0.0,-0.6360572739507548,0.1085759172755701,0.2615154891825351,-0.09112272680650264
2072,2163,0.18298271330707402,0.0,-0.5554305727675548,0.6534592635181178,0.25812052848380346,-0.0874883406401352
2163,2072,0.18298271330707402,0.0,-0.5554305727675548,0.18461086574389762,0.25812052848380346,-0.08314883576014723
2079,820,0.0,0.0,0.8591414591742146,0.6555280651976315,0.25774243775226435,0.1000835207863115
820,2079,0.0,0.0,0.8591414591742146,-0.22699128276896366,0.25774243775226435,0.0791298981231971
2165,2064,0.1846968804201818,0.0,-0.5469048538647363,-0.33385025461365286,0.2564198963695118,-0.08934721319057985
2064,2165,0.1846968804201818,0.0,-0.5469048538647363,0.05742470585582531,0.2564198963695118,-0.07825655761369794
2072,2161,0.1662407692503704,0.0,0.5722917916762512,-0.05210442467472759,0.2548079221280606,0.08636555340984294
2161,2072,0.1662407692503704,0.0,0.5722917916762512,0.022896540024454144,0.2548079221280606,0.08827295378732421
2161,4394,0.0,0.0,0.8300645469661037,0.18431290369612008,0.24901936408983108,0.08626762713995619
4394,2161,0.0,0.0,0.8300645469661037,0.2384933615634675,0.24901936408983108,0.06866620808598936
2031,2026,0.30779350562554625,0.0,0.2986586287345707,-0.49128821806682194,0.24349434143314436,0.11040795608551084
2026,2031,0.30779350562554625,0.0,0.2986586287345707,-0.12114587140080556,0.24349434143314436,0.11083739577484489
2161,2166,0.2957556921486004,0.0,-0.31834596489704187,0.292080791567145,0.24338163554341277,-0.0843145522618786
2166,2161,0.2957556921486004,0.0,-0.31834596489704187,0.012632156563726774,0.24338163554341277,-0.07592925539402957
820,951,0.0,0.0,-0.796810785242443,-0.1849710451309416,0.23904323557273288,-0.07338902760006807
951,820,0.0,0.0,-0.796810785242443,-0.5108498860971271,0.23904323557273288,-0.07592612086843459
951,2064,0.0,0.0,0.7916458052861063,0.2277915119406101,0.23749374158583186,0.07543396275547865
2064,951,0.0,0.0,0.7916458052861063,0.328210546993673,0.23749374158583186,0.07248050145267176
4397,4394,0.4205137655875714,0.0,0.08396389254359748,0.4269925768484224,0.23544605055686496,0.08074359313720803
4394,4397,0.4205137655875714,0.0,0.08396389254359748,-0.08597548700779976,0.23544605055686496,0.06492341493061528
951,2079,0.0,0.0,-0.7660846378938587,0.07204991098735215,0.2298253913681576,-0.07299830259511628
2079,951,0.0,0.0,-0.7660846378938587,-0.03471295924173358,0.2298253913681576,-0.08924310072804494
2064,2697,0.0,0.0,-0.7647600762316032,-0.44043971927790965,0.22942802286948097,-0.07001893200989959
2697,2064,0.0,0.0,-0.7647600762316032,-0.24518157298022641,0.22942802286948097,-0.07602252002391253
2166,820,0.0,0.0,0.7634827481377335,-0.6867917591708455,0.22904482444132004,0.07145651286653273
820,2166,0.0,0.0,0.7634827481377335,-0.03640386773444936,0.22904482444132004,0.07031940018006597
2019,2026,0.3533326266687867,0.0,0.16313401624782273,-0.36632743912098586,0.22560651820874017,0.10529282391444161
2026,2019,0.3533326266687867,0.0,0.16313401624782273,-0.057271975944260894,0.22560651820874017,0.10269494888838154
4394,2072,0.0,0.0,0.7517303089726741,-0.22733020602884366,0.22551909269180223,0.062186091442079865
2072,4394,0.0,0.0,0.7517303089726741,0.26760159523524196,0.22551909269180223,0.07643828764093305
4397,2017,0.2553322789134104,0.0,0.32470914489759367,-0.3176717048309904,0.22507888292598333,0.0771882887980895
2017,4397,0.2553322789134104,0.0,0.32470914489759367,0.4046229289951238,0.22507888292598333,0.07467340175841736
49,2026,0.0,1.0,-0.07110772491064524,-0.07486175134213417,0.2213323174731936,0.12529304032279803
2026,49,0.0,1.0,-0.07110772491064524,0.11396083489605965,0.2213323174731936,0.10074935427719432
2161,2162,0.24079149004402733,0.0,-0.32124358108932805,-0.09912904740569987,0.2167688193488121,-0.07509509050230313
2162,2161,0.24079149004402733,0.0,-0.32124358108932805,-0.26696198752991224,0.2167688193488121,-0.07631715908913464
2017,2697,0.166217103306758,0.0,-0.44474002882500846,-0.15652240058439193,0.21653056030088152,-0.07183736347065534
2697,2017,0.166217103306758,0.0,-0.44474002882500846,-0.0005991553769420307,0.21653056030088152,-0.07174885896840666
2163,2161,0.3499405491145114,0.0,-0.13841337863321387,-0.260414380560063,0.21649428814721985,-0.06973969917814078
2161,2163,0.3499405491145114,0.0,-0.13841337863321387,0.016708809805515087,0.21649428814721985,-0.07499998482478362
2017,4398,0.27957624101977774,0.0,-0.2504543307921357,0.4969355902996632,0.21492441974752957,-0.07130450149239334
4398,2017,0.27957624101977774,0.0,-0.2504543307921357,0.02312241334428999,0.21492441974752957,-0.0720699894009782
2019,2163,0.0,0.0,0.7058752986175981,-0.09388254901825414,0.21176258958527944,0.0988317236306038
2163,2019,0.0,0.0,0.7058752986175981,-0.41282256600598594,0.21176258958527944,0.06821546850611969
2019,2017А,0.0,0.0,-0.662014291904358,-0.1182800160762543,0.1986042875713074,-0.09269061215931067
2017А,2019,0.0,0.0,-0.662014291904358,0.06027058158004613,0.1986042875713074,-0.0889937692426432
49,2161,0.0,0.0,-0.661007181156661,-0.09350094085075986,0.1983021543469983,-0.11225599634226645
2161,49,0.0,0.0,-0.661007181156661,-0.09618930228170065,0.1983021543469983,-0.06869769495550435
2079,4397,0.0,0.0,-0.6582846402088613,0.15403390258718977,0.1974853920626584,-0.07668521146096091
4397,2079,0.0,0.0,-0.6582846402088613,0.05922300619975949,0.1974853920626584,-0.06772540932215848
49,951,0.0,0.0,-0.653310569100521,0.09869324454381687,0.1959931707301563,-0.11094891393915239
951,49,0.0,0.0,-0.653310569100521,0.06707498288195259,0.1959931707301563,-0.06225234165104743
2697,4397,0.20401232133567793,0.0,-0.30339660635424115,-0.4411126346510187,0.1930251425741113,-0.06396018055216807
4397,2697,0.20401232133567793,0.0,-0.30339660635424115,0.26419880840933085,0.1930251425741113,-0.06619581658045859
2163,2697,0.0,0.0,-0.6397950441152438,0.38993577281645264,0.19193851323457314,-0.06182950270067261
2697,2163,0.0,0.0,-0.6397950441152438,0.12504292572083514,0.19193851323457314,-0.06360011860467614
820,2165,0.0,0.0,0.6345997858118001,0.29366389389284786,0.19037993574354004,0.05844883384926696
2165,820,0.0,0.0,0.6345997858118001,-0.6954114228697187,0.19037993574354004,0.06633618118921226
2697,2162,0.0,0.0,-0.630034511987691,-0.6195166279500861,0.1890103535963073,-0.0626298531944219
2162,2697,0.0,0.0,-0.630034511987691,0.2324831308906235,0.1890103535963073,-0.06654431789699197
820,2064,0.0,0.0,-0.6294568163509953,-0.3892299008583375,0.18883704490529857,-0.05797514858458964
2064,820,0.0,0.0,-0.6294568163509953,-0.36708234987001126,0.18883704490529857,-0.05763100794228785
2079,2017,0.0,0.0,-0.6289476450651597,0.4624041996155674,0.18868429351954788,-0.0732676720884637
2017,2079,0.0,0.0,-0.6289476450651597,-0.04849330942768363,0.18868429351954788,-0.06259893363750925
2697,4394,0.12285151171154923,0.0,0.42314373841911496,0.6044300778631543,0.1883688773815091,0.062417295731848524
4394,2697,0.12285151171154923,0.0,0.42314373841911496,-0.15562985057689885,0.1883688773815091,0.05194205108698659
2146,2165,0.344617807865867,0.0,0.04501856239317605,-0.11938334497058985,0.1858144726508863,0.0804129913851906
2165,2146,0.344617807865867,0.0,0.04501856239317605,-0.2881535902793672,0.1858144726508863,0.06474538651988894
2017,820,0.0,0.0,-0.575322837154777,-0.5493981487733327,0.17259685114643308,-0.0572616757305201
820,2017,0.0,0.0,-0.575322837154777,0.08852935132707382,0.17259685114643308,-0.0529892219795375
2074,2079,0.0,0.0,-0.5660430907929078,0.33736090845476774,0.16981292723787234,-0.05797002759673305
2079,2074,0.0,0.0,-0.5660430907929078,0.026082043194348942,0.16981292723787234,-0.06593976444551063
2033,2163,0.0,0.0,-0.5658218030721271,-0.16725146140350228,0.16974654092163813,-0.07185941677077644
2163,2033,0.0,0.0,-0.5658218030721271,0.04759278388643072,0.16974654092163813,-0.05468076225805511
2162,4394,0.0,0.0,-0.5652836013397126,0.223058365968297,0.16958508040191375,-0.05970531923851374
4394,2162,0.0,0.0,-0.5652836013397126,0.2890693154245511,0.16958508040191375,-0.04676248556701126
2064,2017,0.0,0.0,0.557944054413548,0.21295260010406147,0.1673832163240644,0.05108353328773771
2017,2064,0.0,0.0,0.557944054413548,0.022788879443419435,0.1673832163240644,0.05553197171452657
4394,2019,0.26069890038272536,0.0,0.11565334761783386,0.13432398555525163,0.16504545447671284,0.04551069978901871
2019,4394,0.26069890038272536,0.0,0.11565334761783386,-0.2657729413092274,0.16504545447671284,0.07702836830280142
2064,2162,0.0,0.0,0.5467529951285832,0.42990411566852055,0.16402589853857497,0.05005891649150815
2162,2064,0.0,0.0,0.5467529951285832,0.23315882624417103,0.16402589853857497,0.057748114471036734
951,4397,0.0,0.0,0.5450240297848913,0.3310900836283261,0.16350720893546739,0.05193398624625534
4397,951,0.0,0.0,0.5450240297848913,0.29687039183791586,0.16350720893546739,0.0560729709505034
2064,2079,0.0,0.0,-0.5361861526310417,-0.48527413423135995,0.16085584578931253,-0.04909145094330581
2079,2064,0.0,0.0,-0.5361861526310417,0.1513745327230612,0.16085584578931253,-0.062461655620439024
2162,2072,0.0,0.0,-0.5361337099471617,0.17123525444452908,0.1608401129841485,-0.05662650434412175
2072,2162,0.0,0.0,-0.5361337099471617,-0.25037322841244936,0.1608401129841485,-0.05451575152124324
