КНС,Период,Нагн. скваж.,Закачка м3/мес базовый прогноз,Закачка м3/мес прогноз,Доля базовый прогноз,Доля прогноз,Руст базовый прогноз,Руст прогноз,Суммарная закачка прогноз,Закачка м3/мес факт,Руст факт
97,04.2026,2015,1042.382949810001,922.2461536522276,0.0209189815623055,0.0209189815623055,54.19131857725455,54.19131857725455,44086.570414787726,2088.717,61.0
97,04.2026,2017,909.7994721838946,804.9431967103473,0.01825824030168492,0.01825824030168492,62.546482667993914,62.546482667993914,44086.570414787726,899.91,61.0
97,04.2026,2017А,1781.4886923580757,1576.1684269698026,0.03575166796011687,0.03575166796011687,62.0918890347087,62.0918890347087,44086.570414787726,1651.896,61.0
97,04.2026,2019,1123.0122285727705,993.5827408673881,0.0225370840035703,0.0225370840035703,51.86555484682963,51.86555484682963,44086.570414787726,1355.369,59.0
97,04.2026,2026,236.01405867441687,208.8129490798045,0.0047364298722987865,0.0047364298722987865,55.647126378028204,55.647126378028204,44086.570414787726,867.404,59.0
97,04.2026,2031,24.34595691179361,21.54003490077913,0.0004885849522455498,0.0004885849522455498,74.79492604406992,74.79492604406992,44086.570414787726,0.566,79.0
97,04.2026,2033,1664.6403925947047,1472.7871360179372,0.033406706898750464,0.033406706898750464,57.52219847441419,57.52219847441419,44086.570414787726,848.27,49.0
97,04.2026,2064,3945.8744493268823,3491.104237986265,0.07918747603046171,0.07918747603046171,30.380072113900432,30.380072113900432,44086.570414787726,7282.374,61.0
97,04.2026,2072,3261.247440023468,2885.3819109551214,0.06544809187487383,0.06544809187487383,48.6725476923174,48.6725476923174,44086.570414787726,4318.24,52.0
97,04.2026,2074,1194.0727662827005,1056.4534042750997,0.02396315690550379,0.023963156905503793,60.94084355739606,60.94084355739606,44086.570414787726,816.063,79.0
97,04.2026,2077,0.0,0.0,0.0,0.0,59.85845249573189,59.85845249573189,44086.570414787726,,
97,04.2026,2079,1178.8520137392845,1042.986875019785,0.023657700410961,0.02365770041096101,54.52221477028438,54.52221477028438,44086.570414787726,821.288,84.0
97,04.2026,2146,3020.503626484043,2672.3843210647906,0.06061674328308393,0.06061674328308393,54.92659359672976,54.92659359672976,44086.570414787726,3578.208,61.0
97,04.2026,2161,5961.088605173443,5274.0607841901065,0.11962964536749396,0.11962964536749396,43.46543895223673,43.46543895223673,44086.570414787726,2228.56,38.0
97,04.2026,2162,1768.94847502201,1565.0734956815868,0.03550000557894661,0.03550000557894661,36.39694461090809,36.39694461090809,44086.570414787726,1405.968,37.0
